Team,State,Conf
Air Force,Colorado,Mountain West
Akron,Ohio,MAC
Alabama,Alabama,SEC
Alabama-Birmingham,Alabama,C-USA
Appalachian State,North Carolina,Sun Belt
Arizona,Arizona,Pac-12
Arizona State,Arizona,Pac-12
Arkansas,Arkansas,SEC
Arkansas State,Arkansas,Sun Belt
Army,New York,Independent
Auburn,Alabama,SEC
Ball State,Indiana,MAC
Baylor,Texas,Big 12
Boise State,Idaho,Mountain West
Boston College,Massachusetts,ACC
Bowling Green,Ohio,MAC
Buffalo,New York,MAC
Brigham Young,Utah,Independent
California,California,Pac-12
Fresno State,California,Mountain West
UCLA,California,Pac-12
Central Florida,Florida,American
Central Michigan,Michigan,MAC
Cincinnati,Ohio,American
Clemson,South Carolina,ACC
Colorado,Colorado,Pac-12
Colorado State,Colorado,Mountain West
Connecticut,Connecticut,American
Duke,North Carolina,ACC
Eastern Michigan,Michigan,MAC
East Carolina,North Carolina,American
Florida,Florida,SEC
Florida Atlantic,Florida,C-USA
Florida International,Florida,C-USA
Florida State,Florida,ACC
Georgia,Georgia,SEC
Georgia Southern,Georgia,Sun Belt
Georgia State,Georgia,Sun Belt
Georgia Tech,Georgia,ACC
Hawaii,Hawai'i,Mountain West
Houston,Texas,American
Idaho,Idaho,Sun Belt
Illinois,Illinois,Big Ten
Indiana,Indiana,Big Ten
Iowa,Iowa,Big Ten
Iowa State,Iowa,Big 12
Kansas,Kansas,Big 12
Kansas State,Kansas,Big 12
Kent State,Ohio,MAC
Kentucky,Kentucky,SEC
Louisiana State,Louisiana,SEC
Louisiana Tech,Louisiana,C-USA
Louisiana-Lafayette,Louisiana,Sun Belt
Louisiana-Monroe,Louisiana,Sun Belt
Louisville,Kentucky,ACC
Marshall,West Virginia,C-USA
Maryland,Maryland,Big Ten
Massachusetts,Massachusetts,MAC
Memphis,Tennessee,American
Miami (FL),Florida,ACC
Miami (OH),Ohio,MAC
Michigan,Michigan,Big Ten
Michigan State,Michigan,Big Ten
Middle Tennessee State,Tennessee,C-USA
Minnesota,Minnesota,Big Ten
Mississippi,Mississippi,SEC
Mississippi State,Mississippi,SEC
Missouri,Missouri,SEC
Navy,Maryland,Independent
Nebraska,Nebraska,Big Ten
Nevada,Nevada,Mountain West
Nevada-Las Vegas,Nevada,Mountain West
New Mexico,New Mexico,Mountain West
New Mexico State,New Mexico,Sun Belt
North Carolina,North Carolina,ACC
North Carolina State,North Carolina,ACC
North Texas,Texas,C-USA
Northern Illinois,Illinois,MAC
Northwestern,Illinois,Big Ten
Notre Dame,Indiana,Independent
Ohio,Ohio,MAC
Ohio State,Ohio,Big Ten
Oklahoma,Oklahoma,Big 12
Oklahoma State,Oklahoma,Big 12
Old Dominion,Virginia,C-USA
Oregon,Oregon,Pac-12
Oregon State,Oregon,Pac-12
Penn State,Pennsylvania,Big Ten
Pittsburgh,Pennsylvania,ACC
Purdue,Indiana,Big Ten
Rice,Texas,C-USA
Rutgers,New Jersey,Big Ten
San Diego State,California,Mountain West
San Jose State,California,Mountain West
South Alabama,Alabama,Sun Belt
South Carolina,South Carolina,SEC
South Florida,Florida,American
Southern California,California,Pac-12
Southern Methodist,Texas,American
Southern Mississippi,Mississippi,C-USA
Stanford,California,Pac-12
Syracuse,New York,ACC
Temple,Pennsylvania,American
Tennessee,Tennessee,SEC
Texas,Texas,Big 12
Texas A&M,Texas,SEC
Texas Christian,Texas,Big 12
Texas State,Texas,Sun Belt
Texas Tech,Texas,Big 12
Texas-El Paso,Texas,C-USA
Texas San Antonio,Texas,C-USA
Toledo,Ohio,MAC
Troy,Alabama,Sun Belt
Tulane,Louisiana,American
Tulsa,Oklahoma,American
Utah,Utah,Pac-12
Utah State,Utah,Mountain West
Vanderbilt,Tennessee,SEC
Virginia,Virginia,ACC
Virginia Tech,Virginia,ACC
Wake Forest,North Carolina,ACC
Washington,Washington,Pac-12
Washington State,Washington,Pac-12
West Virginia,West Virginia,Big 12
Western Kentucky,Kentucky,C-USA
Western Michigan,Michigan,MAC
Wisconsin,Wisconsin,Big Ten
Wyoming,Wyoming,Mountain West
